question_text,user_id,response
1. How likely are you to recommend Mattresses and More to a friend?,13a2a036-d28b-4567-a30a-47466a1311ae,7
3. How old are you?,13a2a036-d28b-4567-a30a-47466a1311ae,65+
4. What is your gender?,13bf6dc1-981c-4a99-8419-fe5c3226764b,female
3. How old are you?,13bf6dc1-981c-4a99-8419-fe5c3226764b,55-65
1. How likely are you to recommend Mattresses and More to a friend?,13bf6dc1-981c-4a99-8419-fe5c3226764b,8
2. Which Mattresses and More location do you shop at?,13bf6dc1-981c-4a99-8419-fe5c3226764b,Farmingburg
2. Which Mattresses and More location do you shop at?,13e5bbd0-dca6-4208-8d71-4fa2e3b80a7f,Cliffmont
5. What is your annual household income?,13e5bbd0-dca6-4208-8d71-4fa2e3b80a7f,"60,000 - 80,000"
4. What is your gender?,13e5bbd0-dca6-4208-8d71-4fa2e3b80a7f,other
3. How old are you?,13e5bbd0-dca6-4208-8d71-4fa2e3b80a7f,55-65
1. How likely are you to recommend Mattresses and More to a friend?,13e5bbd0-dca6-4208-8d71-4fa2e3b80a7f,7
4. What is your gender?,14ff4c4a-f004-48d7-b850-b4adb704771e,female
2. Which Mattresses and More location do you shop at?,14ff4c4a-f004-48d7-b850-b4adb704771e,Farmingburg
3. How old are you?,14ff4c4a-f004-48d7-b850-b4adb704771e,35-45
5. What is your annual household income?,14ff4c4a-f004-48d7-b850-b4adb704771e,"60,000 - 80,000"
1. How likely are you to recommend Mattresses and More to a friend?,14ff4c4a-f004-48d7-b850-b4adb704771e,8
1. How likely are you to recommend Mattresses and More to a friend?,15137aab-6a60-474d-a709-7f3ccda5bdf3,7
5. What is your annual household income?,15137aab-6a60-474d-a709-7f3ccda5bdf3,"60,000 - 80,000"
2. Which Mattresses and More location do you shop at?,15137aab-6a60-474d-a709-7f3ccda5bdf3,Fruitville
3. How old are you?,15137aab-6a60-474d-a709-7f3ccda5bdf3,35-45
4. What is your gender?,15137aab-6a60-474d-a709-7f3ccda5bdf3,female
2. Which Mattresses and More location do you shop at?,15b57fdf-d123-4d4e-9106-880d2a956f4c,Parkdale
1. How likely are you to recommend Mattresses and More to a friend?,15b57fdf-d123-4d4e-9106-880d2a956f4c,8
1. How likely are you to recommend Mattresses and More to a friend?,1609caac-0759-4f43-943f-01abae16974a,7
2. Which Mattresses and More location do you shop at?,1609caac-0759-4f43-943f-01abae16974a,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,1610a140-0a96-4649-a4ed-a145c5c1fd5e,7
2. Which Mattresses and More location do you shop at?,1610a140-0a96-4649-a4ed-a145c5c1fd5e,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,1687777e-7e81-4c05-806c-3660912231a6,8
2. Which Mattresses and More location do you shop at?,16925191-69e7-4976-90ab-9faaa01389d8,Cliffmont
1. How likely are you to recommend Mattresses and More to a friend?,16925191-69e7-4976-90ab-9faaa01389d8,7
1. How likely are you to recommend Mattresses and More to a friend?,16967bf7-fc2e-4af2-8f37-41cd084e63dc,8
3. How old are you?,16967bf7-fc2e-4af2-8f37-41cd084e63dc,55-65
2. Which Mattresses and More location do you shop at?,16967bf7-fc2e-4af2-8f37-41cd084e63dc,Farmingburg
4. What is your gender?,16967bf7-fc2e-4af2-8f37-41cd084e63dc,male
1. How likely are you to recommend Mattresses and More to a friend?,18723ab5-8075-4fbb-b4d2-c63256282ab3,8
3. How old are you?,193411ea-479a-42cb-b7fe-1804ecf65bdd,65+
4. What is your gender?,193411ea-479a-42cb-b7fe-1804ecf65bdd,male
2. Which Mattresses and More location do you shop at?,193411ea-479a-42cb-b7fe-1804ecf65bdd,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,193411ea-479a-42cb-b7fe-1804ecf65bdd,9
5. What is your annual household income?,193411ea-479a-42cb-b7fe-1804ecf65bdd,"20,000 - 40,000"
1. How likely are you to recommend Mattresses and More to a friend?,1a216ff8-1d0b-4a62-9089-1e8401acecc5,8
2. Which Mattresses and More location do you shop at?,1a8df11e-5392-490a-8a8d-b65fd71ecbd6,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,1a8df11e-5392-490a-8a8d-b65fd71ecbd6,9
3. How old are you?,1a8df11e-5392-490a-8a8d-b65fd71ecbd6,35-45
2. Which Mattresses and More location do you shop at?,1a9bc5be-3059-465c-84fa-0b3cf91d2612,Farmingburg
4. What is your gender?,1a9bc5be-3059-465c-84fa-0b3cf91d2612,male
3. How old are you?,1a9bc5be-3059-465c-84fa-0b3cf91d2612,35-45
1. How likely are you to recommend Mattresses and More to a friend?,1a9bc5be-3059-465c-84fa-0b3cf91d2612,9
5. What is your annual household income?,1a9bc5be-3059-465c-84fa-0b3cf91d2612,"20,000 - 40,000"
1. How likely are you to recommend Mattresses and More to a friend?,1c4d062f-2ab4-4eac-bec6-99ced35ce666,10
2. Which Mattresses and More location do you shop at?,1c4d062f-2ab4-4eac-bec6-99ced35ce666,Parkdale
5. What is your annual household income?,1c4d062f-2ab4-4eac-bec6-99ced35ce666,"40,000 - 60,000"
4. What is your gender?,1c4d062f-2ab4-4eac-bec6-99ced35ce666,female
3. How old are you?,1c4d062f-2ab4-4eac-bec6-99ced35ce666,45-55
2. Which Mattresses and More location do you shop at?,1c6a4577-4bda-47fe-bf7a-a26b5043a25a,Cliffmont
1. How likely are you to recommend Mattresses and More to a friend?,1c6a4577-4bda-47fe-bf7a-a26b5043a25a,6
3. How old are you?,1cfe30d6-ad08-4d97-b25d-7070a0602d10,65+
1. How likely are you to recommend Mattresses and More to a friend?,1cfe30d6-ad08-4d97-b25d-7070a0602d10,9
2. Which Mattresses and More location do you shop at?,1cfe30d6-ad08-4d97-b25d-7070a0602d10,Cliffmont
5. What is your annual household income?,1cfe30d6-ad08-4d97-b25d-7070a0602d10,"40,000 - 60,000"
4. What is your gender?,1cfe30d6-ad08-4d97-b25d-7070a0602d10,male
1. How likely are you to recommend Mattresses and More to a friend?,1d118e88-8607-4e47-87ec-702d2ca6a13d,9
4. What is your gender?,1d118e88-8607-4e47-87ec-702d2ca6a13d,female
2. Which Mattresses and More location do you shop at?,1d118e88-8607-4e47-87ec-702d2ca6a13d,Farmingburg
3. How old are you?,1d118e88-8607-4e47-87ec-702d2ca6a13d,65+
5. What is your annual household income?,1d118e88-8607-4e47-87ec-702d2ca6a13d,"Less than 20,000"
4. What is your gender?,1d2ac81c-a96e-42dc-b83f-23e698ad4814,female
5. What is your annual household income?,1d2ac81c-a96e-42dc-b83f-23e698ad4814,"40,000 - 60,000"
3. How old are you?,1d2ac81c-a96e-42dc-b83f-23e698ad4814,18-25
1. How likely are you to recommend Mattresses and More to a friend?,1d2ac81c-a96e-42dc-b83f-23e698ad4814,7
2. Which Mattresses and More location do you shop at?,1d2ac81c-a96e-42dc-b83f-23e698ad4814,Parkdale
1. How likely are you to recommend Mattresses and More to a friend?,1df3aaea-341e-478e-933a-cfbfd7709dec,9
3. How old are you?,1df3aaea-341e-478e-933a-cfbfd7709dec,65+
4. What is your gender?,1df3aaea-341e-478e-933a-cfbfd7709dec,female
2. Which Mattresses and More location do you shop at?,1df3aaea-341e-478e-933a-cfbfd7709dec,Fruitville
5. What is your annual household income?,1df3aaea-341e-478e-933a-cfbfd7709dec,"80,000 - 100,000"
3. How old are you?,1ec6b3cb-1e2f-4572-9226-de3dcb3a964b,25-35
5. What is your annual household income?,1ec6b3cb-1e2f-4572-9226-de3dcb3a964b,"80,000 - 100,000"
1. How likely are you to recommend Mattresses and More to a friend?,1ec6b3cb-1e2f-4572-9226-de3dcb3a964b,8
2. Which Mattresses and More location do you shop at?,1ec6b3cb-1e2f-4572-9226-de3dcb3a964b,Fruitville
4. What is your gender?,1ec6b3cb-1e2f-4572-9226-de3dcb3a964b,other
4. What is your gender?,1ed125d7-4fa5-4c57-a531-8186a38d0c0f,female
2. Which Mattresses and More location do you shop at?,1ed125d7-4fa5-4c57-a531-8186a38d0c0f,Farmingburg
3. How old are you?,1ed125d7-4fa5-4c57-a531-8186a38d0c0f,65+
1. How likely are you to recommend Mattresses and More to a friend?,1ed125d7-4fa5-4c57-a531-8186a38d0c0f,8
1. How likely are you to recommend Mattresses and More to a friend?,1ed33caa-a780-4283-94bb-af6a45b9aaba,9
2. Which Mattresses and More location do you shop at?,1ed33caa-a780-4283-94bb-af6a45b9aaba,Fruitville
4. What is your gender?,1ef4dc6b-f27d-444c-a2fe-bdc6eaf26ab2,female
5. What is your annual household income?,1ef4dc6b-f27d-444c-a2fe-bdc6eaf26ab2,"40,000 - 60,000"
1. How likely are you to recommend Mattresses and More to a friend?,1ef4dc6b-f27d-444c-a2fe-bdc6eaf26ab2,8
2. Which Mattresses and More location do you shop at?,1ef4dc6b-f27d-444c-a2fe-bdc6eaf26ab2,Fruitville
3. How old are you?,1ef4dc6b-f27d-444c-a2fe-bdc6eaf26ab2,18-25
3. How old are you?,1f18e4e1-0149-4c9f-8c2a-81bdc154851c,25-35
2. Which Mattresses and More location do you shop at?,1f18e4e1-0149-4c9f-8c2a-81bdc154851c,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,1f18e4e1-0149-4c9f-8c2a-81bdc154851c,8
5. What is your annual household income?,1f18e4e1-0149-4c9f-8c2a-81bdc154851c,"20,000 - 40,000"
4. What is your gender?,1f18e4e1-0149-4c9f-8c2a-81bdc154851c,male
1. How likely are you to recommend Mattresses and More to a friend?,1f521352-0d0e-4a1e-9e00-dcfc175642da,9
3. How old are you?,1f521352-0d0e-4a1e-9e00-dcfc175642da,45-55
4. What is your gender?,1f521352-0d0e-4a1e-9e00-dcfc175642da,female
5. What is your annual household income?,1f521352-0d0e-4a1e-9e00-dcfc175642da,"40,000 - 60,000"
2. Which Mattresses and More location do you shop at?,1f521352-0d0e-4a1e-9e00-dcfc175642da,Parkdale
3. How old are you?,2123a523-91ba-44bb-bca9-4bef456a1f80,18-25
5. What is your annual household income?,2123a523-91ba-44bb-bca9-4bef456a1f80,"Less than 20,000"
1. How likely are you to recommend Mattresses and More to a friend?,2123a523-91ba-44bb-bca9-4bef456a1f80,7
4. What is your gender?,2123a523-91ba-44bb-bca9-4bef456a1f80,female
2. Which Mattresses and More location do you shop at?,2123a523-91ba-44bb-bca9-4bef456a1f80,Fruitville
5. What is your annual household income?,215dca3e-7fa0-4d4f-85d1-b544025d7663,"40,000 - 60,000"
4. What is your gender?,215dca3e-7fa0-4d4f-85d1-b544025d7663,female
2. Which Mattresses and More location do you shop at?,215dca3e-7fa0-4d4f-85d1-b544025d7663,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,215dca3e-7fa0-4d4f-85d1-b544025d7663,10
3. How old are you?,215dca3e-7fa0-4d4f-85d1-b544025d7663,65+
1. How likely are you to recommend Mattresses and More to a friend?,23f72182-22c4-40f9-a34a-224f0aee2413,9
2. Which Mattresses and More location do you shop at?,23f72182-22c4-40f9-a34a-224f0aee2413,Cliffmont
3. How old are you?,23f72182-22c4-40f9-a34a-224f0aee2413,25-35
4. What is your gender?,23f72182-22c4-40f9-a34a-224f0aee2413,male
1. How likely are you to recommend Mattresses and More to a friend?,24c4bca4-80af-4a10-95d8-3c6c5d234ef9,7
2. Which Mattresses and More location do you shop at?,24c4bca4-80af-4a10-95d8-3c6c5d234ef9,Fruitville
3. How old are you?,24c4bca4-80af-4a10-95d8-3c6c5d234ef9,25-35
4. What is your gender?,24ca7283-60d0-4fb2-ab1a-1003ba42abcf,female
5. What is your annual household income?,24ca7283-60d0-4fb2-ab1a-1003ba42abcf,"80,000 - 100,000"
1. How likely are you to recommend Mattresses and More to a friend?,24ca7283-60d0-4fb2-ab1a-1003ba42abcf,8
2. Which Mattresses and More location do you shop at?,24ca7283-60d0-4fb2-ab1a-1003ba42abcf,Fruitville
3. How old are you?,24ca7283-60d0-4fb2-ab1a-1003ba42abcf,25-35
2. Which Mattresses and More location do you shop at?,252a4d7c-73b3-4823-8f11-73623c9a56c8,Cliffmont
5. What is your annual household income?,252a4d7c-73b3-4823-8f11-73623c9a56c8,"60,000 - 80,000"
4. What is your gender?,252a4d7c-73b3-4823-8f11-73623c9a56c8,male
1. How likely are you to recommend Mattresses and More to a friend?,252a4d7c-73b3-4823-8f11-73623c9a56c8,9
3. How old are you?,252a4d7c-73b3-4823-8f11-73623c9a56c8,25-35
2. Which Mattresses and More location do you shop at?,267e4ad8-00dd-4682-92a4-bb2639acf4aa,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,267e4ad8-00dd-4682-92a4-bb2639acf4aa,9
3. How old are you?,267e4ad8-00dd-4682-92a4-bb2639acf4aa,25-35
4. What is your gender?,267e4ad8-00dd-4682-92a4-bb2639acf4aa,female
5. What is your annual household income?,2693c9e7-11b8-4aa9-989e-a9c00c0e3851,"40,000 - 60,000"
4. What is your gender?,2693c9e7-11b8-4aa9-989e-a9c00c0e3851,male
2. Which Mattresses and More location do you shop at?,2693c9e7-11b8-4aa9-989e-a9c00c0e3851,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,2693c9e7-11b8-4aa9-989e-a9c00c0e3851,9
3. How old are you?,2693c9e7-11b8-4aa9-989e-a9c00c0e3851,55-65
3. How old are you?,26a261f9-4d67-4e6f-bf70-2e39f5ca56e9,45-55
4. What is your gender?,26a261f9-4d67-4e6f-bf70-2e39f5ca56e9,female
1. How likely are you to recommend Mattresses and More to a friend?,26a261f9-4d67-4e6f-bf70-2e39f5ca56e9,8
2. Which Mattresses and More location do you shop at?,26a261f9-4d67-4e6f-bf70-2e39f5ca56e9,Fruitville
4. What is your gender?,2771446b-0581-48fa-bb9e-e58690225317,female
1. How likely are you to recommend Mattresses and More to a friend?,2771446b-0581-48fa-bb9e-e58690225317,8
5. What is your annual household income?,2771446b-0581-48fa-bb9e-e58690225317,"Less than 20,000"
3. How old are you?,2771446b-0581-48fa-bb9e-e58690225317,55-65
2. Which Mattresses and More location do you shop at?,2771446b-0581-48fa-bb9e-e58690225317,Cliffmont
1. How likely are you to recommend Mattresses and More to a friend?,279fc404-5284-401f-a1c8-ef6634beb6ca,7
2. Which Mattresses and More location do you shop at?,27cc6da1-2fe9-46c6-a264-4f1cd0aa9335,Farmingburg
3. How old are you?,27cc6da1-2fe9-46c6-a264-4f1cd0aa9335,45-55
4. What is your gender?,27cc6da1-2fe9-46c6-a264-4f1cd0aa9335,male
1. How likely are you to recommend Mattresses and More to a friend?,27cc6da1-2fe9-46c6-a264-4f1cd0aa9335,8
5. What is your annual household income?,27cc6da1-2fe9-46c6-a264-4f1cd0aa9335,"60,000 - 80,000"
2. Which Mattresses and More location do you shop at?,299e9c85-4bb8-42ad-a30a-6fbfc7e95346,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,299e9c85-4bb8-42ad-a30a-6fbfc7e95346,9
4. What is your gender?,299e9c85-4bb8-42ad-a30a-6fbfc7e95346,female
3. How old are you?,299e9c85-4bb8-42ad-a30a-6fbfc7e95346,65+
5. What is your annual household income?,2a5f8200-defb-4c48-97e9-027e885f8ef4,"40,000 - 60,000"
4. What is your gender?,2a5f8200-defb-4c48-97e9-027e885f8ef4,other
3. How old are you?,2a5f8200-defb-4c48-97e9-027e885f8ef4,45-55
1. How likely are you to recommend Mattresses and More to a friend?,2a5f8200-defb-4c48-97e9-027e885f8ef4,9
2. Which Mattresses and More location do you shop at?,2a5f8200-defb-4c48-97e9-027e885f8ef4,Farmingburg
5. What is your annual household income?,2a8ec80b-a15b-4e2c-8f29-88222bf6650d,"20,000 - 40,000"
4. What is your gender?,2a8ec80b-a15b-4e2c-8f29-88222bf6650d,male
3. How old are you?,2a8ec80b-a15b-4e2c-8f29-88222bf6650d,18-25
2. Which Mattresses and More location do you shop at?,2a8ec80b-a15b-4e2c-8f29-88222bf6650d,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,2a8ec80b-a15b-4e2c-8f29-88222bf6650d,7
2. Which Mattresses and More location do you shop at?,2b1e35fe-792a-44a8-9205-c059f0ce3127,Fruitville
